Id,Name,Description,Longitude,Latitude,Status
1,MIDAS site at M4/2295A2 priority 1 on link 105009001; GPS Ref: 502816;178156; Westbound,M4/2295A2,-0.520379558,51.49301154,Inactive
2,MIDAS site at A1M/2259B priority 1 on link 126046101; GPS Ref: 514029;294356; Southbound,A1M/2259B,-0.320275452,52.5351578,Active
3,MIDAS site at M5/7482B priority 1 on link 109001601; GPS Ref: 388120;253057; Northbound,M5/7482B,-2.175138259,52.17565179,Active
4,MIDAS site at M3/2173A priority 1 on link 103009101; GPS Ref: 442770;118058; Westbound,M3/2173A,-1.392373667,50.96035863,Active
5,MIDAS site at M25/5764B priority 1 on link 199056702; GPS Ref: 558308;188775; Anti-clockwise,M25/5764B,0.28316159300000004,51.57561681,Active
6,MIDAS site at M27/9273A priority 1 on link 103009302; GPS Ref: 448516;111110; Eastbound,M27/9273A,-1.311486052,50.89742916,Inactive
7,MIDAS site at A1M/9869K priority 1 on link 118013101; GPS Ref: 439428;465276; Northbound,A1M/9869K,-1.398830854,54.08191522,Active
8,MIDAS site at M25/4876A priority 1 on link 199132301; GPS Ref: 501669;171540; Clockwise,M25/4876A,-0.538795788,51.43374864,Active
9,MIDAS site at M60/9164M priority 1 on link 115021301; GPS Ref: 376508;396448; Anti-clockwise,M60/9164M,-2.355314136,53.4642621,Inactive
10,MIDAS site at M62/1686A priority 1 on link 125025001; GPS Ref: 393066;411906; Eastbound,M62/1686A,-2.106257993,53.60368568,Inactive
11,MIDAS site at M27/9387A priority 1 on link 103010501; GPS Ref: 458731;107342; Eastbound,M27/9387A,-1.166850011,50.86260337,Active
12,MIDAS site at M6/6760B priority 1 on link 110005801; GPS Ref: 374505;366313; Southbound,M6/6760B,-2.38304762,53.19330138,Inactive
13,MIDAS site at M62/2328B priority 1 on link 200017023; GPS Ref: 447418;423793; Westbound,M62/2328B,-1.2831152590000001,53.70843401,Active
14,MIDAS site at A2/8392M priority 1 on link 200045660; GPS Ref: 565718;170406; Westbound,A2/8392M,0.38138129800000004,51.40846577,Active
15,MIDAS site at M6/6988B priority 1 on link 110003001; GPS Ref: 366171;385367; Southbound,M6/6988B,-2.509816347,53.36409909,Active
16,MIDAS site at M2/8460A priority 1 on link 200006989; GPS Ref: 571654;168165; Eastbound,M2/8460A,0.465564014,51.38657015,Inactive
17,MIDAS site at M1/2413B priority 1 on link 200047604; GPS Ref: 509720;210823; Southbound,M1/2413B,-0.410736661,51.78532569,Active
18,MIDAS site at M62/2099A priority 1 on link 116033901; GPS Ref: 425956;426222; Eastbound,M62/2099A,-1.608042405,53.73176638,Active
19,MIDAS site at M1/4890A priority 1 on link 116019602; GPS Ref: 430883;416335; Northbound,M1/4890A,-1.534342066,53.64263792,Active
20,MIDAS site at M3/2039B priority 1 on link 103045201; GPS Ref: 449606;129206; Eastbound,M3/2039B,-1.293522196,51.06005185,Active
21,MIDAS site at M1/4846A priority 1 on link 116017902; GPS Ref: 429734;412200; Northbound,M1/4846A,-1.552114799,53.60553914,Active
22,MIDAS site at A14/1908A priority 1 on link 106048001; GPS Ref: 614456;241199; Eastbound,A14/1908A,1.124712663,52.02773712,Active
23,MIDAS site at M3/2165M priority 1 on link 103008801; GPS Ref: 443385;118574; Westbound,M3/2165M,-1.38355583,50.96495255,Active
24,MIDAS site at M4/3479A priority 1 on link 102004601; GPS Ref: 396680;180193; Westbound,M4/3479A,-2.049237089,51.5206447,Active
25,MIDAS site at M25/5135B priority 1 on link 199004401; GPS Ref: 504275;197295; Anti-clockwise,M25/5135B,-0.49369229000000003,51.66477329,Active
26,MIDAS site at M5/7138M priority 1 on link 112009302; GPS Ref: 399170;283740; Northbound,M5/7138M,-2.013634608,52.45163105,Active
27,MIDAS site at M1/2771A priority 1 on link 108020101; GPS Ref: 492031;239267; Northbound,M1/2771A,-0.6595074550000001,52.04418043,Inactive
28,MIDAS site at M25/4490B priority 1 on link 103063502; GPS Ref: 527988;153760; Anti-clockwise,M25/4490B,-0.16674972700000001,51.26862947,Active
29,MIDAS site at M6/5838B priority 1 on link 112004002; GPS Ref: 409165;290578; Southbound,M6/5838B,-1.8663771,52.51302978,Active
30,MIDAS site at M2/8528A priority 1 on link 200008383; GPS Ref: 575053;162382; Eastbound,M2/8528A,0.511519342,51.33358333,Active
31,MIDAS site at M1/5163J priority 1 on link 116014701; GPS Ref: 441866;434633; Northbound,M1/5163J,-1.365755236,53.8063305,Active
32,MIDAS site at A1M/9468J priority 1 on link 108009601; GPS Ref: 523552;222388; Northbound,A1M/9468J,-0.206184201,51.88637482,Active
33,MIDAS site at M54/3154A priority 1 on link 200119800; GPS Ref: 391887;304493; Westbound,M54/3154A,-2.121316166,52.638136779999996,Active
34,MIDAS site at M56/8150A priority 1 on link 199090301; GPS Ref: 379633;384595; Westbound,M56/8150A,-2.30747452,53.35785327,Active
35,MIDAS site at M25/4101L priority 1 on link 104047102; GPS Ref: 554959;171081; Anti-clockwise,M25/4101L,0.227108726,51.41757061,Active
